Depth(ft),Block Position(ft),ROP Avg(fph),Total Flow(gpm),Pres Xducer 1(psig),AGRC(api),Hookload Avg(klb),DCWA(klb),DCWX(klb),WOB Avg(klb),Torque Abs Avg(f-kp),DCTA(f-p),DCTX(f-p),DCBA(f-p),DCD(deg),RPM Surface Avg(rpm),Ann Press - EMW(ppg),Temp Annulus(degF),Dens Mud In Avg(ppg),GP_Min_RPM(rpm),GP_Mean_RPM(rpm),GP_Max_RPM(rpm),GP_Tor_Eff(NONE),RPM(rpm),RPM Max(rpm),RPM Min(rpm),StickSlip Ind(NONE),AVGX-M5(g),AVGY-M5(g),AVGZ-M5(g),PEAKX-M5(g),PEAKY-M5(g),PEAKZ-M5(g),DDS Avg X(g),DDS Avg Y(g),DDS Avg Z(g),DDS Peak X(g),DDS Peak Y(g),DDS Peak Z(g),DDS Avg X(g),DDS Avg Y(g),DDS Avg Z(g),DDS Peak X(g),DDS Peak Y(g),DDS Peak Z(g)
    17059.5000,55.6651,80.2243,952.1418,4835.3994,95.6444,744.7083,15.1780,19.9160,16.8670,14.2287,5240.0000,6522.0000,4265.0000,308.5680,80.1721,13.1120,142.8800,12.6000,72.2755,80.6177,88.3663,89.7059,79.6800,89.0000,67.0000,28,0.1500,0.1500,0.0300,0.6000,1.0000,0.4000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17060.0000,55.1699,73.1352,952.1418,4832.8662,73.1861,744.3794,16.2900,20.8480,17.2039,14.1066,5476.0000,6996.0000,4964.0000,231.4260,80.3279,13.1285,142.8800,12.6000,56.8367,82.9577,107.2196,68.6765,79.0400,94.0000,66.0000,35,0.1200,0.1200,0.0200,1.0000,0.6000,0.4000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000,0.4000,0.2000,0.2000,2.0000,2.0000,1.0000
    17060.5000,54.6759,70.6216,952.1418,4829.8262,84.7040,742.6945,16.7920,22.0700,18.8843,15.3347,5512.0000,6900.0000,5013.0000,179.9980,80.1726,13.1146,142.8800,12.6000,69.9585,80.1478,89.6119,87.3529,80.3200,92.0000,64.5000,34,0.1100,0.1200,0.0200,1.0000,0.6000,0.4000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17061.0000,54.1766,123.3226,952.1418,4832.3599,73.7191,743.8271,15.1560,20.2940,17.7522,14.3541,5134.0000,6800.0000,5007.0000,205.7120,80.2588,13.1210,143.0600,12.6000,69.9585,80.1478,89.6119,87.3529,79.6800,79.5000,73.5000,8,0.1500,0.1200,0.0200,2.2000,0.6000,0.4000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000,0.4000,0.2000,0.2000,2.0000,2.0000,1.0000
    17061.5000,53.6819,55.4840,951.8956,4834.8931,75.9425,746.9089,14.9500,19.0380,14.6727,14.2082,4904.0000,6044.0000,5493.0000,179.9980,80.1639,13.1138,143.0600,12.6000,69.9585,80.1478,89.6119,87.3529,81.2800,95.5000,66.5000,36,0.1300,0.1400,0.0200,1.0000,0.6000,0.4000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17062.0000,53.1717,60.6579,952.1418,4835.3994,67.0391,745.8027,12.4880,16.7880,15.7627,14.2546,4294.0000,5448.0000,5600.0000,154.2840,80.3279,13.1146,143.0600,12.6000,44.4853,80.1478,113.2721,55.7353,80.9600,92.5000,68.0000,30,0.1300,0.1400,0.0300,1.8000,1.0000,0.4000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17062.5000,52.6912,38.8268,952.1418,4831.8525,80.4924,747.9924,11.9380,16.4060,13.5871,13.4856,4048.0000,5346.0000,6084.0000,179.9980,80.3188,13.1108,143.0600,12.6000,73.0390,80.1478,86.7506,91.1765,80.6400,89.0000,72.5000,20,0.1200,0.1300,0.0200,1.4000,1.4000,0.4000,0.2000,0.4000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17063.0000,52.1828,35.3257,952.1418,4827.2930,86.9843,747.2481,13.1480,17.7380,14.3295,13.1460,4222.0000,5474.0000,10263.0000,257.1400,80.3279,13.1037,143.0600,12.6000,70.1334,78.7478,86.7491,89.1176,80.6400,89.0000,72.5000,20,0.1100,0.1100,0.0200,1.0000,1.0000,0.4000,0.4000,0.4000,0.2000,3.0000,2.0000,1.0000,0.4000,0.2000,0.2000,2.0000,2.0000,1.0000
    17063.5000,51.6765,48.4582,952.1418,4829.3193,81.9477,745.6656,14.6700,19.2160,15.8854,14.3842,4780.0000,5986.0000,10393.0000,205.7120,80.2243,13.1146,143.0600,12.6000,70.1334,78.7478,86.7491,89.1176,80.0000,86.0000,73.5000,16,0.1200,0.1400,0.0200,2.2000,1.0000,0.4000,0.4000,0.2000,0.2000,2.0000,2.0000,1.0000,0.4000,0.2000,0.2000,2.0000,2.0000,1.0000
    17064.0000,51.1989,56.4152,952.1418,4828.8130,72.7262,744.7469,9.8820,16.4980,16.8066,14.6177,5108.0000,6236.0000,11163.0000,179.9980,80.1967,13.1085,143.2400,12.6000,67.3798,74.0579,80.2608,91.0294,79.6800,84.0000,71.5000,16,0.1200,0.1300,0.0200,0.6000,1.0000,0.4000,0.2000,0.2000,0.2000,2.0000,2.0000,1.0000,0.4000,0.2000,0.2000,2.0000,2.0000,1.0000
