Depth(ft),Block Position(ft),ROP Avg(fph),Total Flow(gpm),Pres Xducer 1(psig),AGRC(api),Hookload Avg(klb),DCWA(klb),DCWX(klb),WOB Avg(klb),Torque Abs Avg(f-kp),DCTA(f-p),DCTX(f-p),DCBA(f-p),DCD(deg),RPM Surface Avg(rpm),Ann Press - EMW(ppg),Temp Annulus(degF),Dens Mud In Avg(ppg),GP_Min_RPM(rpm),GP_Mean_RPM(rpm),GP_Max_RPM(rpm),GP_Tor_Eff(NONE),RPM(rpm),RPM Max(rpm),RPM Min(rpm),StickSlip Ind(NONE),AVGX-M5(g),AVGY-M5(g),AVGZ-M5(g),PEAKX-M5(g),PEAKY-M5(g),PEAKZ-M5(g),DDS Avg X(g),DDS Avg Y(g),DDS Avg Z(g),DDS Peak X(g),DDS Peak Y(g),DDS Peak Z(g),DDS Avg X(g),DDS Avg Y(g),DDS Avg Z(g),DDS Peak X(g),DDS Peak Y(g),DDS Peak Z(g)
    17582.0000,48.7266,116.6497,1087.3179,5883.2422,68.5282,742.7576,8.7740,16.4320,20.4415,28.9249,5226.0000,8338.0000,3939.0000,0.0000,180.1639,13.4050,147.3800,12.6000,167.2847,180.9249,193.5944,92.5000,176.3200,188.5000,142.5000,26,0.3400,0.3000,0.0400,1.8000,1.2000,0.2000,0.2000,0.4000,0.2000,2.0000,3.0000,1.0000,0.4000,0.4000,0.2000,3.0000,2.0000,1.0000
    17582.5000,48.1542,112.1159,1087.5641,5871.5879,79.5586,743.1313,9.1540,13.0680,20.0154,28.7296,4756.0000,6440.0000,5506.0000,231.4260,180.0328,13.4199,147.3800,12.6000,165.0944,179.9950,193.8350,91.7647,184.3200,241.5000,153.0000,48,0.1900,0.2200,0.0300,0.8000,0.8000,0.2000,2.4000,0.4000,0.2000,2.0000,3.0000,1.0000,1.0000,0.4000,0.2000,3.0000,2.0000,1.0000
    17583.0000,47.6844,101.4439,1087.8103,5876.1479,75.9883,743.3827,8.3840,10.6040,19.8067,25.8183,4402.0000,5464.0000,3365.0000,334.2820,180.0000,13.4129,147.3800,12.6000,165.0944,179.9950,193.8350,91.7647,184.3200,241.5000,153.0000,48,0.1500,0.2000,0.0300,0.6000,0.8000,0.2000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,3.0000,2.0000,1.0000
    17583.5000,47.2133,99.3903,1085.1019,5869.5610,66.4675,728.6564,8.2540,10.6940,34.5289,26.2981,4272.0000,5478.0000,4589.0000,282.8540,180.1639,13.4170,147.3800,12.6000,165.0944,179.9950,193.8350,91.7647,180.1600,188.5000,168.5000,11,0.1800,0.2000,0.0300,1.0000,1.2000,0.2000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17584.0000,46.7505,95.2950,1086.0868,5875.1348,81.0439,728.1735,8.4960,12.0780,34.9570,26.1021,4382.0000,5480.0000,5507.0000,179.9980,180.1639,13.4155,147.3800,12.6000,163.0092,178.5850,193.0523,91.3235,180.1600,188.5000,168.5000,11,0.2500,0.2200,0.0400,1.0000,1.2000,0.2000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17584.5000,46.1494,157.1956,1087.8103,5888.8154,80.2360,738.3503,9.5160,12.9360,25.0655,25.8700,4938.0000,6600.0000,4954.0000,282.8540,180.1639,13.4555,147.7400,12.6000,163.0092,178.5850,193.0523,91.3235,180.1600,188.5000,168.5000,11,0.2000,0.1800,0.0300,1.0000,0.8000,0.2000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000,0.8000,0.4000,0.2000,3.0000,2.0000,1.0000
    17585.0000,45.6846,129.1126,1084.3632,5881.2148,71.1036,742.2274,10.8200,13.8700,20.9242,26.6573,5340.0000,7102.0000,4097.0000,308.5680,180.1639,13.4475,147.7400,12.6000,163.0092,178.5850,193.0523,91.3235,178.5600,188.5000,161.0000,15,0.5000,0.2000,0.0400,1.2000,0.8000,0.2000,0.8000,0.4000,0.2000,3.0000,3.0000,1.0000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000
    17585.5000,45.1574,105.8288,1085.1019,5893.8823,71.5190,742.4796,10.3760,14.8080,20.7266,28.2635,5260.0000,6548.0000,5432.0000,282.8540,180.0000,13.4187,147.7400,12.6000,163.0092,178.5850,193.0523,91.3235,178.5600,188.5000,161.0000,15,0.4400,0.2200,0.0400,1.2000,1.0000,0.2000,0.8000,0.4000,0.2000,3.0000,3.0000,1.0000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000
    17586.0000,44.6630,183.1493,1086.8253,5867.5347,73.2906,740.8874,10.7740,14.9500,22.3117,27.5096,5424.0000,6934.0000,6057.0000,359.9960,180.1639,13.4216,147.9200,12.6000,170.7616,180.9249,190.3649,94.4118,180.4800,194.5000,151.5000,24,0.3300,0.2500,0.0400,1.2000,1.0000,0.2000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000
    17586.5000,44.2261,161.6739,1087.5641,5898.4429,71.2502,740.3640,9.9460,14.4560,22.8462,26.2294,4930.0000,6510.0000,7304.0000,282.8540,180.0000,13.4212,147.9200,12.6000,170.7616,180.9249,190.3649,94.4118,180.4800,196.0000,157.0000,22,0.3500,0.2200,0.0400,1.2000,1.0000,0.2000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000,0.4000,0.4000,0.2000,3.0000,2.0000,1.0000
    17587.0000,43.7015,51.0817,1087.0717,5890.3354,71.3234,768.8328,8.6940,12.6000,-5.6714,19.9671,4374.0000,6400.0000,7095.0000,334.2820,126.5574,13.4252,147.9200,12.6000,170.7616,180.9249,190.3649,94.4118,180.4800,196.0000,157.0000,22,0.4600,0.2500,0.0300,1.2000,1.0000,0.2000,2.4000,0.4000,0.2000,3.0000,2.0000,1.0000,1.4000,0.4000,0.2000,3.0000,2.0000,1.0000
    17587.5000,43.1552,137.4245,1087.5641,5889.8291,78.2974,739.9194,10.1140,13.7800,23.2993,23.6609,5038.0000,6764.0000,6714.0000,25.7140,180.1639,13.4358,148.1000,12.6000,167.5826,179.5250,190.6174,93.3824,180.4800,196.0000,157.0000,22,0.3800,0.2400,0.0400,1.2000,1.0000,0.2000,2.4000,0.4000,0.2000,3.0000,2.0000,1.0000,1.4000,0.4000,0.2000,3.0000,2.0000,1.0000
    17588.0000,42.6519,117.2233,1087.3179,5898.9492,73.4372,740.2950,9.8600,14.0060,22.8698,26.1289,5224.0000,6778.0000,2957.0000,231.4260,180.0000,13.4332,148.1000,12.6000,167.5826,179.5250,190.6174,93.3824,181.7600,200.0000,156.0000,24,0.3000,0.2400,0.0300,1.2000,1.0000,0.2000,0.8000,0.4000,0.2000,2.0000,3.0000,1.0000,0.4000,0.4000,0.2000,3.0000,3.0000,1.0000
    17588.5000,42.1521,194.5574,1086.3330,5885.2690,69.2097,740.5624,9.0020,13.5680,22.6249,23.7205,4560.0000,6670.0000,5269.0000,282.8540,180.1639,13.4251,148.4600,12.6000,167.5826,179.5250,190.6174,93.3824,181.7600,200.0000,156.0000,24,0.2200,0.2200,0.0300,0.8000,1.0000,0.2000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000
    17589.0000,41.6638,69.6906,1087.0717,5895.9092,69.7405,739.4722,7.6500,11.8160,23.6993,23.7009,4048.0000,5210.0000,4449.0000,282.8540,180.0690,13.4281,148.2800,12.6000,167.5826,179.5250,190.6174,93.3824,179.5200,186.0000,161.0000,14,0.2600,0.2200,0.0400,1.2000,1.0000,0.2000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17589.5000,41.2087,138.9184,1086.3330,5900.9761,69.7405,738.2527,7.4260,11.8160,24.9543,24.7655,3972.0000,5330.0000,3599.0000,25.7140,180.1639,13.4244,148.2800,12.6000,167.5826,179.5250,190.6174,93.3824,179.5200,186.0000,161.0000,14,0.4100,0.1900,0.0300,1.2000,0.6000,0.2000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17590.0000,40.6977,107.3655,1088.3027,5909.5903,87.4299,736.6470,9.1500,13.5040,26.5256,27.0965,4612.0000,6850.0000,4653.0000,25.7140,180.1147,13.4229,148.6400,12.6000,166.9299,184.6748,201.1568,90.4412,181.1200,205.0000,154.5000,28,1.7200,0.1000,0.0200,2.0000,0.2000,0.2000,1.0000,0.4000,0.2000,4.0000,3.0000,1.0000,0.8000,0.4000,0.2000,3.0000,3.0000,1.0000
    17590.5000,40.1498,284.9915,1087.3179,5910.0972,82.7448,738.6759,6.7600,11.1580,24.4770,24.3661,3722.0000,5540.0000,3078.0000,334.2820,180.1639,13.3974,148.6400,12.6000,166.9299,184.6748,201.1568,90.4412,180.1600,200.0000,156.0000,24,0.4900,0.2200,0.0400,1.2000,1.0000,0.2000,1.0000,0.4000,0.2000,4.0000,3.0000,1.0000,0.8000,0.4000,0.2000,3.0000,3.0000,1.0000
    17591.0000,39.6663,100.9651,1087.5641,5906.5493,90.0785,738.0351,7.4880,10.9340,25.1495,24.0622,3968.0000,5936.0000,3445.0000,154.2840,180.1066,13.4057,148.6400,12.6000,164.6890,176.7050,187.8659,93.2353,182.0800,197.0000,155.0000,23,0.2200,0.2100,0.0300,0.8000,1.0000,0.2000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000
    17591.5000,39.2019,0.0000,1085.5944,5898.4429,78.7103,745.9733,7.2900,10.3340,17.2005,24.8923,3838.0000,5392.0000,4988.0000,334.2820,180.0000,13.4130,148.8200,12.6000,164.6890,176.7050,187.8659,93.2353,182.0800,197.0000,155.0000,23,0.4200,0.2400,0.0300,1.4000,1.0000,0.2000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000,0.4000,0.4000,0.2000,3.0000,2.0000,1.0000
    17592.0000,38.6631,0.0000,1087.0717,5885.2690,81.0641,744.5098,7.0000,9.8800,18.6455,24.8046,3612.0000,5078.0000,4627.0000,308.5680,180.0000,13.4126,149.0000,12.6000,164.6890,176.7050,187.8659,93.2353,178.8800,187.5000,163.0000,14,0.4700,0.2400,0.0300,1.4000,1.0000,0.2000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17592.5000,38.1550,140.3875,1085.5944,5882.7358,85.9243,743.6409,7.3600,10.7140,19.5163,24.4201,3874.0000,5078.0000,2718.0000,334.2820,180.1229,13.4155,149.0000,12.6000,164.6890,176.7050,187.8659,93.2353,178.8800,187.5000,163.0000,14,0.7100,0.2200,0.0400,1.4000,1.0000,0.2000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17593.0000,37.6565,147.5327,1087.3179,5885.7759,63.0150,742.8865,6.4020,9.0340,20.3251,23.2353,3606.0000,4944.0000,2470.0000,102.8560,180.0164,13.4119,149.1800,12.6000,167.9172,180.4550,192.1004,93.0882,181.1200,193.5000,161.0000,18,0.4700,0.2400,0.0400,0.8000,1.4000,0.2000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17593.5000,37.2435,133.0947,1087.5641,5885.7759,58.9341,742.7313,5.9560,9.0820,20.4580,24.8122,3418.0000,4944.0000,3940.0000,25.7140,180.1639,13.4050,149.1800,12.6000,167.9172,180.4550,192.1004,93.0882,181.1200,193.5000,161.0000,18,0.4500,0.2800,0.0400,1.2000,1.0000,0.2000,0.4000,0.4000,0.2000,3.0000,2.0000,1.0000,0.4000,0.4000,0.2000,3.0000,2.0000,1.0000
    17594.0000,36.6510,112.2678,1087.3179,5899.4561,63.7210,740.7009,5.0260,8.5600,22.4662,22.4293,2922.0000,4132.0000,4320.0000,205.7120,180.1639,13.4067,149.1800,12.6000,167.9172,180.4550,192.1004,93.0882,181.1200,198.5000,163.5000,19,0.2400,0.1900,0.0300,1.0000,1.0000,0.2000,0.8000,0.4000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,3.0000,2.0000,1.0000
    17594.5000,36.1851,125.7049,1087.3179,5917.6973,62.1381,739.0395,10.4320,12.6520,24.1371,21.9148,5924.0000,7244.0000,4577.0000,102.8560,180.1639,13.4085,149.3600,12.6000,167.9172,180.4550,192.1004,93.0882,175.6800,200.0000,144.0000,32,0.3300,0.1700,0.0300,1.0000,0.6000,0.2000,1.2000,0.4000,0.2000,2.0000,2.0000,1.0000,0.8000,0.4000,0.2000,3.0000,2.0000,1.0000
    17595.0000,35.6519,186.0633,1088.5490,5915.1641,67.8997,737.6304,9.1080,12.2600,25.5605,27.0708,5120.0000,6928.0000,4625.0000,282.8540,180.1639,13.4147,149.3600,12.6000,167.9172,180.4550,192.1004,93.0882,175.6800,200.0000,144.0000,32,0.2000,0.2100,0.0400,1.0000,1.0000,0.2000,1.2000,0.4000,0.2000,2.0000,2.0000,1.0000,0.8000,0.4000,0.2000,3.0000,2.0000,1.0000
    17595.5000,35.1547,113.2231,1087.8103,5908.0703,56.0655,739.3193,8.6340,11.5660,23.8575,26.4751,4540.0000,5856.0000,3657.0000,102.8560,180.1229,13.3881,149.3600,12.6000,167.9172,180.4550,192.1004,93.0882,175.6800,200.0000,144.0000,32,0.2300,0.2000,0.0400,0.8000,0.6000,0.2000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17596.0000,34.6730,120.6323,1087.5641,5912.6304,56.6982,739.0454,8.4780,11.1820,24.1308,26.2794,4418.0000,5596.0000,3380.0000,128.5700,180.1639,13.3921,149.3600,12.6000,164.5932,178.5850,191.5810,92.2059,181.7600,200.0000,170.0000,17,0.2400,0.2000,0.0400,0.8000,1.0000,0.2000,0.4000,0.4000,0.2000,3.0000,3.0000,1.0000,0.4000,0.4000,0.2000,3.0000,2.0000,1.0000
    17596.5000,34.1980,143.6588,1087.3179,5906.0430,63.6925,739.1721,8.7360,13.1680,24.0071,28.1217,4836.0000,6952.0000,4101.0000,25.7140,180.1639,13.4005,149.5400,12.6000,128.0958,181.8649,231.8072,70.5882,181.7600,200.0000,170.0000,17,0.6600,0.2200,0.0300,1.2000,1.0000,0.2000,0.4000,0.4000,0.2000,3.0000,3.0000,1.0000,0.4000,0.4000,0.2000,3.0000,2.0000,1.0000
    17597.0000,33.7528,135.9518,1087.0717,5901.9897,56.7227,738.9742,8.2820,11.0880,24.1957,27.0002,4936.0000,6262.0000,3909.0000,154.2840,180.0000,13.3946,149.5400,12.6000,128.0958,181.8649,231.8072,70.5882,181.7600,200.0000,170.0000,17,0.2100,0.1700,0.0300,0.8000,0.6000,0.2000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000,0.4000,0.4000,0.2000,3.0000,3.0000,1.0000
    17597.5000,33.2126,205.2733,1087.5641,5894.8960,71.2991,739.2582,9.1480,12.5320,23.9153,26.1624,4664.0000,6272.0000,3655.0000,359.9960,180.1639,13.4052,149.5400,12.6000,128.0958,181.8649,231.8072,70.5882,180.1600,200.0000,158.5000,23,0.3100,0.2000,0.0300,0.8000,1.0000,0.2000,0.8000,0.4000,0.2000,3.0000,2.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17598.0000,32.7503,103.7489,1087.5641,5889.3228,58.8608,739.0529,8.6220,11.5720,24.1411,25.8880,4326.0000,5836.0000,3691.0000,77.1420,180.0820,13.4005,149.5400,12.6000,128.0958,181.8649,231.8072,70.5882,180.1600,200.0000,158.5000,23,0.3100,0.2100,0.0400,1.2000,1.0000,0.2000,0.4000,0.4000,0.2000,3.0000,3.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17598.5000,32.1673,104.5658,1085.8406,5877.6680,63.5256,739.1018,9.0420,11.8680,24.1168,27.0914,4714.0000,5950.0000,3692.0000,102.8560,180.0604,13.4132,149.7200,12.6000,128.0958,181.8649,231.8072,70.5882,180.1600,191.0000,164.5000,15,0.2200,0.2000,0.0300,0.8000,0.6000,0.2000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000,0.4000,0.4000,0.2000,3.0000,2.0000,1.0000
    17599.0000,31.7188,142.6717,1087.8103,5881.7222,55.4573,740.1881,5.6460,10.2580,23.1124,25.1141,3314.0000,5514.0000,11471.0000,334.2820,180.1639,13.4237,149.7200,12.6000,128.0958,181.8649,231.8072,70.5882,180.1600,191.0000,164.5000,15,0.2300,0.2600,0.0300,0.8000,1.8000,0.2000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000
    17599.5000,31.2124,149.3024,1087.3179,5868.0410,65.8062,740.4021,8.4480,11.5120,22.7698,23.9669,4880.0000,6482.0000,3770.0000,51.4280,180.0410,13.4408,149.7200,12.6000,167.1439,179.0550,190.1184,93.3824,180.1600,191.0000,164.5000,15,0.3900,0.2100,0.0300,1.2000,1.0000,0.2000,0.8000,0.4000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17600.0000,30.6668,93.8561,1090.0264,5884.7622,71.9561,738.7961,5.4560,9.0160,24.3521,24.8842,3384.0000,4896.0000,5710.0000,334.2820,180.0000,13.4175,149.7200,12.6000,167.1439,179.0550,190.1184,93.3824,182.0800,197.0000,161.0000,20,0.2500,0.2100,0.0400,0.8000,1.0000,0.2000,0.8000,0.4000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17600.5000,30.1952,95.9602,1087.3179,5869.0547,74.1146,737.3713,6.0100,10.1720,25.7836,22.0579,3300.0000,4812.0000,4390.0000,51.4280,180.1639,13.3941,149.7200,12.6000,167.1439,179.0550,190.1184,93.3824,181.1200,200.0000,159.5000,22,0.3700,0.1800,0.0400,0.8000,0.6000,0.2000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17601.0000,29.6880,237.1133,1088.0565,5881.7222,69.8424,731.8303,10.7420,14.2960,31.4051,28.1742,6094.0000,8200.0000,4509.0000,154.2840,180.0000,13.4243,150.0800,12.6000,167.1439,179.0550,190.1184,93.3824,181.1200,200.0000,159.5000,22,0.7100,0.2300,0.0300,1.6000,0.6000,0.2000,1.2000,0.4000,0.2000,2.0000,2.0000,1.0000,1.0000,0.4000,0.2000,3.0000,3.0000,1.0000
    17601.5000,29.1936,155.1740,1087.5641,5880.2017,69.7405,732.4735,7.4500,11.0880,30.7154,30.4546,3992.0000,5634.0000,6081.0000,51.4280,179.9508,13.4196,150.0800,12.6000,165.1450,180.9249,195.5818,91.3235,180.4800,212.5000,153.0000,33,0.4500,0.2500,0.0400,1.2000,1.0000,0.2000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17602.0000,28.6917,112.9120,1086.5792,5880.2017,74.1146,734.4525,9.0000,13.4740,28.7524,28.3751,4740.0000,7244.0000,7003.0000,205.7120,180.0000,13.4017,150.0800,12.6000,165.1450,180.9249,195.5818,91.3235,180.4800,212.5000,153.0000,33,0.2500,0.2200,0.0400,0.8000,0.6000,0.2000,1.4000,0.4000,0.2000,2.0000,3.0000,1.0000,1.0000,0.4000,0.2000,3.0000,2.0000,1.0000
    17602.5000,28.1742,75.1071,1084.8556,5860.4404,62.3335,736.6270,9.0400,12.0600,26.5403,27.7213,5198.0000,6636.0000,3134.0000,205.7120,180.0000,13.3970,150.0800,12.6000,149.1491,176.2451,201.4126,84.7059,176.3200,220.5000,129.5000,52,0.3800,0.2000,0.0300,0.8000,0.6000,0.2000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17603.0000,27.7079,76.2718,1087.5641,5862.9741,64.3252,736.4478,8.8640,12.3320,26.7586,26.5418,5006.0000,6298.0000,2990.0000,257.1400,180.1639,13.3922,150.2600,12.6000,149.1491,176.2451,201.4126,84.7059,180.4800,187.5000,162.0000,14,0.3100,0.2000,0.0300,0.8000,0.6000,0.2000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17603.5000,27.2051,169.3359,1089.5339,5868.0410,77.7380,736.8479,8.6400,11.6140,26.3287,25.6392,4620.0000,6122.0000,3205.0000,51.4280,180.0000,13.3908,150.2600,12.6000,149.1491,176.2451,201.4126,84.7059,180.4800,187.5000,162.0000,14,0.2300,0.2300,0.0400,1.2000,1.0000,0.2000,0.8000,0.4000,0.2000,2.0000,3.0000,1.0000,0.4000,0.4000,0.2000,3.0000,2.0000,1.0000
    17604.0000,26.6572,150.7269,1088.3027,5860.9473,74.2612,736.8511,9.7880,12.1520,26.3188,26.7388,4920.0000,6132.0000,3841.0000,231.4260,180.0164,13.3948,150.2600,12.6000,149.1491,176.2451,201.4126,84.7059,181.1200,189.5000,164.5000,14,0.2300,0.2500,0.0400,1.2000,1.0000,0.2000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000
    17604.5000,26.1828,147.8780,1087.5641,5850.3071,69.9402,736.6285,9.2040,12.2160,26.5475,25.4527,4964.0000,6330.0000,3606.0000,205.7120,180.1639,13.3999,150.2600,12.6000,149.1491,176.2451,201.4126,84.7059,181.1200,189.5000,164.5000,14,0.3300,0.2300,0.0400,1.2000,1.0000,0.2000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17605.0000,25.6910,137.2133,1087.5641,5852.8408,73.2906,737.0227,7.2180,10.6240,26.1236,26.4250,4182.0000,5298.0000,4155.0000,0.0000,180.1467,13.3874,150.2600,12.6000,149.1491,176.2451,201.4126,84.7059,180.1600,192.0000,164.5000,15,0.3700,0.2200,0.0300,1.2000,1.0000,0.2000,0.8000,0.4000,0.2000,2.0000,3.0000,1.0000,0.4000,0.4000,0.2000,3.0000,3.0000,1.0000
    17605.5000,25.1702,177.9153,1087.5641,5849.8003,74.7026,736.5220,7.1160,9.8840,26.6355,25.7542,4310.0000,5612.0000,4553.0000,205.7120,180.1639,13.3903,150.4400,12.6000,160.9479,179.5250,196.7799,89.7059,180.1600,192.0000,164.5000,15,0.2800,0.2100,0.0400,0.8000,1.4000,0.2000,0.4000,0.4000,0.2000,2.0000,4.0000,1.0000,0.4000,0.4000,0.2000,3.0000,2.0000,1.0000
    17606.0000,24.6561,109.0413,1087.8103,5839.1597,64.4717,737.1678,7.5440,10.2380,26.0472,25.8214,4580.0000,5806.0000,4083.0000,205.7120,180.1639,13.3768,150.8000,12.6000,160.9479,179.5250,196.7799,89.7059,178.8800,200.0000,159.5000,23,0.5400,0.2700,0.0400,1.2000,1.8000,0.2000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17606.5000,24.2139,294.0348,1084.6094,5833.5859,74.7229,738.0311,7.7560,11.6880,25.1381,26.8204,4342.0000,6244.0000,3898.0000,179.9980,180.0000,13.3688,150.6200,12.6000,160.9479,179.5250,196.7799,89.7059,178.8800,200.0000,159.5000,23,0.6000,0.3000,0.0400,2.8000,1.4000,0.2000,1.2000,0.4000,0.2000,3.0000,4.0000,1.0000,0.8000,0.4000,0.2000,3.0000,3.0000,1.0000
    17607.0000,23.7213,168.8826,1087.5641,5854.3604,82.9580,737.5627,7.3700,10.1060,25.5834,25.5112,4352.0000,5450.0000,3729.0000,231.4260,180.1639,13.3968,150.8000,12.6000,159.6476,180.4550,199.7814,88.5294,180.4800,211.0000,150.0000,34,0.2400,0.2900,0.0400,2.0000,1.4000,0.2000,0.8000,0.4000,0.2000,2.0000,3.0000,1.0000,0.4000,0.4000,0.2000,3.0000,3.0000,1.0000
    17607.5000,23.1854,341.2988,1084.8556,5825.4790,69.2342,738.1227,6.5040,14.1400,25.0596,25.9088,4178.0000,7222.0000,4011.0000,51.4280,180.0086,13.3888,150.6200,12.6000,159.6476,180.4550,199.7814,88.5294,180.4800,211.0000,150.0000,34,1.2400,0.7300,0.0400,2.8000,2.6000,0.2000,0.8000,0.4000,0.2000,2.0000,3.0000,1.0000,0.4000,0.4000,0.2000,3.0000,2.0000,1.0000
    17608.0000,22.6503,192.8247,1087.0717,5836.6265,71.3479,738.2588,9.8620,15.5060,24.9249,33.4452,5114.0000,7230.0000,3806.0000,257.1400,180.1639,13.3797,150.6200,12.6000,153.3706,172.4952,190.2586,88.9706,180.4800,211.0000,150.0000,34,0.5400,0.3000,0.0400,1.6000,1.4000,0.2000,0.8000,0.4000,0.2000,2.0000,3.0000,1.0000,0.4000,0.4000,0.2000,3.0000,2.0000,1.0000
    17608.5000,22.1592,92.9672,1087.0717,5855.8804,79.0237,737.1135,7.8160,10.4360,26.0654,27.3138,4726.0000,6112.0000,3799.0000,308.5680,180.0000,13.3946,150.8000,12.6000,153.3706,172.4952,190.2586,88.9706,184.3200,238.0000,135.5000,56,0.3600,0.2100,0.0400,1.2000,1.0000,0.2000,0.8000,0.4000,0.2000,2.0000,3.0000,1.0000,0.8000,0.4000,0.2000,2.0000,2.0000,1.0000
    17609.0000,21.7255,100.5605,1087.8103,5842.1997,91.4130,736.9739,7.4060,10.1060,26.2263,23.7700,4476.0000,5586.0000,4256.0000,205.7120,180.1229,13.3920,150.6200,12.6000,153.3706,172.4952,190.2586,88.9706,176.9600,196.0000,149.0000,27,0.1800,0.2100,0.0400,1.6000,1.0000,0.2000,0.8000,0.4000,0.2000,2.0000,3.0000,1.0000,0.8000,0.4000,0.2000,2.0000,2.0000,1.0000
    17609.5000,21.1498,153.2467,1084.6094,5831.0527,71.4212,735.6534,7.7040,10.6720,27.5391,27.6026,4578.0000,6112.0000,3511.0000,359.9960,180.0000,13.4102,150.8000,12.6000,153.3706,172.4952,190.2586,88.9706,181.1200,192.0000,164.5000,15,0.3000,0.2300,0.0400,0.8000,1.8000,0.2000,0.8000,0.4000,0.2000,3.0000,4.0000,1.0000,0.4000,0.4000,0.2000,3.0000,2.0000,1.0000
    17610.0000,20.6718,337.1220,1086.5792,5842.7065,89.2505,734.6097,6.9500,11.7000,28.5827,32.2250,4096.0000,5742.0000,4158.0000,179.9980,179.8361,13.3892,150.8000,12.6000,153.3706,172.4952,190.2586,88.9706,173.1200,202.5000,125.0000,45,0.2900,0.2500,0.0400,0.8000,1.0000,0.2000,0.4000,0.4000,0.2000,2.0000,4.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17610.5000,20.1597,278.7420,1085.8406,5840.1733,83.6395,735.1519,8.6780,15.5400,28.1188,29.6873,4998.0000,8446.0000,3378.0000,128.5700,180.1639,13.4018,148.8200,12.6000,161.5518,181.3949,199.8258,89.1176,173.1200,202.5000,125.0000,45,1.1100,0.2300,0.0300,1.6000,1.0000,0.2000,0.4000,0.4000,0.2000,2.0000,4.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17611.0000,19.9376,162.8822,1085.8406,5832.0659,72.6336,735.0013,7.7080,11.2980,28.1910,25.4797,4672.0000,5708.0000,3329.0000,0.0000,180.0000,13.3960,148.8200,12.6000,161.5518,181.3949,199.8258,89.1176,173.1200,202.5000,125.0000,45,0.4600,0.3700,0.0500,2.4000,2.2000,0.2000,0.4000,0.4000,0.2000,2.0000,4.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
